iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
LBN,2030,16628593.0,567348000.0,0.0,AFG | ZWE | VEN | UKR | BEN | BDI | LSO | LBR | LBY | MLI | MOZ | MMR | NER | NGA | EGY | ETH | PSE | PAK | PHL | RWA | SLE | SOM | SSD | SDN | SYR | TZA | TGO | TUR | UGA | YEM | ZMB |  | BGD | AGO | BFA | CMR | CAF | TCD | DJI | PRK | COD | COL | ECU | HTI | IRN | IRQ | JOR | KEN | LBN,567347968.0,True
AGO,2026,16628593.0,567348000.0,-837952120.1143594,AGO,1405300088.1143594,True
AGO,2027,16628593.0,567348000.0,-882408739.550656,AGO,1449756707.5506558,True
AGO,2028,16628593.0,567348000.0,-926865358.9869527,AGO,1494213326.9869528,True
AGO,2029,16628593.0,567348000.0,-971443777.3806092,AGO,1538791745.380609,True
AGO,2030,16628593.0,567348000.0,-1015900396.8169057,AGO,1583248364.8169057,True
SXM,2026,16628593.0,567348000.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,567347968.0,True
SXM,2027,16628593.0,567348000.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,567347968.0,True
SXM,2028,16628593.0,567348000.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,567347968.0,True
SXM,2029,16628593.0,567348000.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,567347968.0,True
SXM,2030,16628593.0,567348000.0,0.0,ATG | MAF | BHS | AIA | TCA | VGB | BLM | KNA | SXM,567347968.0,True
BDI,2026,16628593.0,567348000.0,158684061.119571,BDI,408663906.880429,True
BDI,2027,16628593.0,567348000.0,161543830.228196,BDI,405804137.771804,True
BDI,2028,16628593.0,567348000.0,164403599.336821,BDI,402944368.66317904,True
BDI,2029,16628593.0,567348000.0,167271203.4293052,BDI,400076764.5706948,True
BDI,2030,16628593.0,567348000.0,170130972.5379302,BDI,397216995.4620698,True
BEN,2026,16628593.0,567348000.0,0.0,BEN,567347968.0,True
BEN,2027,16628593.0,567348000.0,0.0,BEN,567347968.0,True
BEN,2028,16628593.0,567348000.0,0.0,BEN,567347968.0,True
BEN,2029,16628593.0,567348000.0,0.0,BEN,567347968.0,True
BEN,2030,16628593.0,567348000.0,0.0,BEN,567347968.0,True
BFA,2026,14242112.0,661632060.0,816264421.2023975,BFA,-154632357.20239747,False
BFA,2027,14242112.0,661632060.0,870386163.3022289,BFA,-208754099.30222893,False
BFA,2028,14242112.0,661632060.0,924507905.4020605,BFA,-262875841.4020605,False
BFA,2029,14242112.0,661632060.0,978777926.247371,BFA,-317145862.24737096,False
BFA,2030,14242112.0,661632060.0,1032899668.3472027,BFA,-371267604.34720266,False
BGD,2026,16628593.0,567348000.0,1098799995.550568,BGD,-531452027.5505681,False
BGD,2027,16628593.0,567348000.0,1137426519.9125304,BGD,-570078551.9125304,False
BGD,2028,16628593.0,567348000.0,1176053044.2744927,BGD,-608705076.2744927,False
BGD,2029,16628593.0,567348000.0,1214785394.7305975,BGD,-647437426.7305975,False
BGD,2030,16628593.0,567348000.0,1253411919.0925598,BGD,-686063951.0925598,False
BOL,2026,16628593.0,567348000.0,77462329.97798108,BOL,489885638.0220189,True
BOL,2027,16628593.0,567348000.0,80878216.84754032,BOL,486469751.1524597,True
BOL,2028,16628593.0,567348000.0,84294103.71709958,BOL,483053864.28290045,True
BOL,2029,16628593.0,567348000.0,87719349.18082201,BOL,479628618.819178,True
BOL,2030,16628593.0,567348000.0,91135236.05038127,BOL,476212731.9496187,True
PER,2026,16628593.0,567348000.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,567347968.0,True
PER,2027,16628593.0,567348000.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,567347968.0,True
PER,2028,16628593.0,567348000.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,567347968.0,True
PER,2029,16628593.0,567348000.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,567347968.0,True
PER,2030,16628593.0,567348000.0,0.0,BRA | ABW | MEX | CRI | GUY | ECU | URY | CHL | CUW | BOL | PAN | PRY | TTO | ARG | COL | DOM | PER,567347968.0,True
MEX,2026,16628593.0,567348000.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,567347968.0,True
MEX,2027,16628593.0,567348000.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,567347968.0,True
MEX,2028,16628593.0,567348000.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,567347968.0,True
MEX,2029,16628593.0,567348000.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,567347968.0,True
MEX,2030,16628593.0,567348000.0,0.0,BRA | GUY | CRI | URY | PRY | COL | PER | ECU | PAN | CUW | ARG | ABW | BOL | CHL | DOM | TTO | MEX,567347968.0,True
