iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
GNB,2029,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2028,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2027,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
GNB,2026,16628593.0,567348000.0,0.0,LBR | MLI | GIN | GHA | NER | SEN | TGO | BFA | GMB | MRT | SLE | BEN | GNB,567347968.0,True
TUR,2027,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2026,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2030,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2029,16628593.0,567348000.0,0.0,TUR,567347968.0,True
TUR,2028,16628593.0,567348000.0,0.0,TUR,567347968.0,True
SLE,2030,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
SLE,2029,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
UGA,2029,16628593.0,567348000.0,0.0,KEN | ETH | UGA,567347968.0,True
SLE,2027,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
SLE,2026,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
IRQ,2030,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2029,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2028,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2027,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
IRQ,2026,16628593.0,567348000.0,0.0,LBN | TUR | EGY | JOR | IRQ,567347968.0,True
EGY,2026,16628593.0,567348000.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,567347968.0,True
EGY,2030,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
EGY,2029,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
LAO,2026,16628593.0,567348000.0,0.0,LAO,567347968.0,True
KGZ,2030,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
KGZ,2029,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
KGZ,2028,16628593.0,567348000.0,0.0,KGZ,567347968.0,True
SLE,2028,16628593.0,567348000.0,0.0,LBR | GIN | SLE,567347968.0,True
LBN,2030,16628593.0,567348000.0,0.0,IRQ | JOR | EGY | TUR | LBN,567347968.0,True
LBN,2029,16628593.0,567348000.0,0.0,IRQ | JOR | EGY | TUR | LBN,567347968.0,True
LBN,2028,16628593.0,567348000.0,0.0,IRQ | JOR | EGY | TUR | LBN,567347968.0,True
LBN,2027,16628593.0,567348000.0,0.0,IRQ | JOR | EGY | TUR | LBN,567347968.0,True
LBN,2026,16628593.0,567348000.0,0.0,IRQ | JOR | EGY | TUR | LBN,567347968.0,True
LBN,2030,16628593.0,567348000.0,0.0,IRQ | EGY | JOR | TUR | LBN,567347968.0,True
LBN,2029,16628593.0,567348000.0,0.0,IRQ | EGY | JOR | TUR | LBN,567347968.0,True
LBN,2028,16628593.0,567348000.0,0.0,IRQ | EGY | JOR | TUR | LBN,567347968.0,True
LBN,2027,16628593.0,567348000.0,0.0,IRQ | EGY | JOR | TUR | LBN,567347968.0,True
PAK,2029,16628593.0,567348000.0,0.0,IRN | TJK | UZB | TKM | PAK,567347968.0,True
PAK,2028,16628593.0,567348000.0,0.0,IRN | TJK | UZB | TKM | PAK,567347968.0,True
PAK,2027,16628593.0,567348000.0,0.0,IRN | TJK | UZB | TKM | PAK,567347968.0,True
PAK,2026,16628593.0,567348000.0,0.0,IRN | TJK | UZB | TKM | PAK,567347968.0,True
PAK,2030,16628593.0,567348000.0,0.0,IRN | PAK,567347968.0,True
LAO,2028,16628593.0,567348000.0,0.0,LAO,567347968.0,True
COG,2029,16628593.0,567348000.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,567347968.0,True
COG,2028,16628593.0,567348000.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,567347968.0,True
COG,2027,16628593.0,567348000.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,567347968.0,True
COG,2026,16628593.0,567348000.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,567347968.0,True
UGA,2030,16628593.0,567348000.0,0.0,TZA | RWA | UGA,567347968.0,True
UGA,2029,16628593.0,567348000.0,0.0,TZA | RWA | UGA,567347968.0,True
UGA,2028,16628593.0,567348000.0,0.0,TZA | RWA | UGA,567347968.0,True
UGA,2027,16628593.0,567348000.0,0.0,TZA | RWA | UGA,567347968.0,True
UGA,2026,16628593.0,567348000.0,0.0,TZA | RWA | UGA,567347968.0,True
BDI,2030,16628593.0,567348000.0,0.0,TZA | RWA | BDI,567347968.0,True
ETH,2026,16628593.0,567348000.0,0.0,UGA | KEN | ETH,567347968.0,True
KEN,2030,16628593.0,567348000.0,0.0,UGA | ETH | KEN,567347968.0,True
KEN,2029,16628593.0,567348000.0,0.0,UGA | ETH | KEN,567347968.0,True
KEN,2028,16628593.0,567348000.0,0.0,UGA | ETH | KEN,567347968.0,True
KEN,2027,16628593.0,567348000.0,0.0,UGA | ETH | KEN,567347968.0,True
COG,2030,16628593.0,567348000.0,0.0,TZA | UGA | RWA | ZMB | AGO | BDI | COG,567347968.0,True
UGA,2027,16628593.0,567348000.0,0.0,KEN | ETH | UGA,567347968.0,True
UGA,2026,16628593.0,567348000.0,0.0,KEN | ETH | UGA,567347968.0,True
LBN,2030,16628593.0,567348000.0,0.0,JOR | TUR | LBN,567347968.0,True
LBN,2029,16628593.0,567348000.0,0.0,JOR | TUR | LBN,567347968.0,True
LBN,2028,16628593.0,567348000.0,0.0,JOR | TUR | LBN,567347968.0,True
LAO,2030,16628593.0,567348000.0,0.0,LAO,567347968.0,True
LAO,2029,16628593.0,567348000.0,0.0,LAO,567347968.0,True
EGY,2028,16628593.0,567348000.0,0.0,LBY | NER | TUN | EGY,567347968.0,True
LAO,2027,16628593.0,567348000.0,0.0,LAO,567347968.0,True
LBN,2026,16628593.0,567348000.0,0.0,IRQ | EGY | JOR | TUR | LBN,567347968.0,True
LBN,2027,16628593.0,567348000.0,0.0,JOR | TUR | LBN,567347968.0,True
LBN,2026,16628593.0,567348000.0,0.0,JOR | TUR | LBN,567347968.0,True
LBN,2030,16628593.0,567348000.0,0.0,JOR | IRQ | SYR | LBN,567347968.0,True
LBN,2029,16628593.0,567348000.0,0.0,JOR | IRQ | SYR | LBN,567347968.0,True
LBN,2028,16628593.0,567348000.0,0.0,JOR | IRQ | SYR | LBN,567347968.0,True
LBN,2026,16628593.0,567348000.0,0.0,IRQ | TUR | EGY | JOR | LBN,567347968.0,True
LBN,2026,16628593.0,567348000.0,0.0,JOR | IRQ | SYR | LBN,567347968.0,True
LBN,2030,16628593.0,567348000.0,0.0,JOR | IRQ | EGY | TUR | LBN,567347968.0,True
LBN,2029,16628593.0,567348000.0,0.0,JOR | IRQ | EGY | TUR | LBN,567347968.0,True
LBN,2028,16628593.0,567348000.0,0.0,JOR | IRQ | EGY | TUR | LBN,567347968.0,True
LBN,2027,16628593.0,567348000.0,0.0,JOR | IRQ | EGY | TUR | LBN,567347968.0,True
LBN,2026,16628593.0,567348000.0,0.0,JOR | IRQ | EGY | TUR | LBN,567347968.0,True
JOR,2030,16628593.0,567348000.0,0.0,JOR,567347968.0,True
JOR,2029,16628593.0,567348000.0,0.0,JOR,567347968.0,True
JOR,2028,16628593.0,567348000.0,0.0,JOR,567347968.0,True
BDI,2029,16628593.0,567348000.0,0.0,TZA | RWA | BDI,567347968.0,True
JOR,2026,16628593.0,567348000.0,0.0,JOR,567347968.0,True
LBN,2030,16628593.0,567348000.0,0.0,IRQ | TUR | EGY | JOR | LBN,567347968.0,True
LBN,2029,16628593.0,567348000.0,0.0,IRQ | TUR | EGY | JOR | LBN,567347968.0,True
LBN,2028,16628593.0,567348000.0,0.0,IRQ | TUR | EGY | JOR | LBN,567347968.0,True
LBN,2027,16628593.0,567348000.0,0.0,IRQ | TUR | EGY | JOR | LBN,567347968.0,True
LBN,2027,16628593.0,567348000.0,0.0,JOR | IRQ | SYR | LBN,567347968.0,True
MEX,2027,16628593.0,567348000.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,567347968.0,True
MEX,2026,16628593.0,567348000.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,567347968.0,True
PER,2030,16628593.0,567348000.0,0.0,PER,567347968.0,True
PER,2029,16628593.0,567348000.0,0.0,PER,567347968.0,True
PER,2028,16628593.0,567348000.0,0.0,PER,567347968.0,True
PER,2027,16628593.0,567348000.0,0.0,PER,567347968.0,True
PER,2026,16628593.0,567348000.0,0.0,PER,567347968.0,True
IRN,2030,16628593.0,567348000.0,0.0,PAK | IRN,567347968.0,True
IRN,2029,16628593.0,567348000.0,0.0,PAK | IRN,567347968.0,True
IRN,2028,16628593.0,567348000.0,0.0,PAK | IRN,567347968.0,True
PSE,2029,16628593.0,567348000.0,0.0,PSE |  | ,567347968.0,True
PSE,2028,16628593.0,567348000.0,0.0,PSE |  | ,567347968.0,True
PSE,2027,16628593.0,567348000.0,0.0,PSE |  | ,567347968.0,True
PSE,2026,16628593.0,567348000.0,0.0,PSE |  | ,567347968.0,True
TGO,2029,16628593.0,567348000.0,0.0,TGO,567347968.0,True
NIC,2030,16628593.0,567348000.0,0.0,NIC,567347968.0,True
NIC,2029,16628593.0,567348000.0,0.0,NIC,567347968.0,True
NIC,2028,16628593.0,567348000.0,0.0,NIC,567347968.0,True
NIC,2027,16628593.0,567348000.0,0.0,NIC,567347968.0,True
SLB,2029,16628593.0,567348000.0,0.0,SLB,567347968.0,True
SLB,2028,16628593.0,567348000.0,0.0,SLB,567347968.0,True
SLB,2027,16628593.0,567348000.0,0.0,SLB,567347968.0,True
SLB,2026,16628593.0,567348000.0,0.0,SLB,567347968.0,True
PSE,2030,16628593.0,567348000.0,0.0,PSE |  | ,567347968.0,True
MEX,2030,16628593.0,567348000.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,567347968.0,True
MEX,2029,16628593.0,567348000.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,567347968.0,True
NGA,2026,16628593.0,567348000.0,0.0,NGA |  |  | ,567347968.0,True
BDI,2030,16628593.0,567348000.0,0.0,NER | PRK | KEN | NGA | GUY | PAN | MEX | BRA | CUW |  | TTO | PER | URY | EGY | DJI | JOR | CRI | BFA | YEM | RWA | AGO | COG | ETH | TUR | PRY | ECU | SSD | SDN | SOM | IRQ | COD | LBN | CAF | MLI | BGD | ABW | CMR | UKR | UGA | VEN | TZA | ZMB | BOL | DOM | CHL | COL | TCD | AFG | SYR | ARG | LBY | IRN | PSE | MMR | HTI | BDI,567347968.0,True
BDI,2029,16628593.0,567348000.0,0.0,NER | PRK | KEN | NGA | GUY | PAN | MEX | BRA | CUW |  | TTO | PER | URY | EGY | DJI | JOR | CRI | BFA | YEM | RWA | AGO | COG | ETH | TUR | PRY | ECU | SSD | SDN | SOM | IRQ | COD | LBN | CAF | MLI | BGD | ABW | CMR | UKR | UGA | VEN | TZA | ZMB | BOL | DOM | CHL | COL | TCD | AFG | SYR | ARG | LBY | IRN | PSE | MMR | HTI | BDI,567347968.0,True
BDI,2028,16628593.0,567348000.0,0.0,NER | PRK | KEN | NGA | GUY | PAN | MEX | BRA | CUW |  | TTO | PER | URY | EGY | DJI | JOR | CRI | BFA | YEM | RWA | AGO | COG | ETH | TUR | PRY | ECU | SSD | SDN | SOM | IRQ | COD | LBN | CAF | MLI | BGD | ABW | CMR | UKR | UGA | VEN | TZA | ZMB | BOL | DOM | CHL | COL | TCD | AFG | SYR | ARG | LBY | IRN | PSE | MMR | HTI | BDI,567347968.0,True
BOL,2030,16628593.0,567348000.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,567347968.0,True
BOL,2028,16628593.0,567348000.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,567347968.0,True
BOL,2027,16628593.0,567348000.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,567347968.0,True
BOL,2026,16628593.0,567348000.0,0.0,PRY | MEX | CUW | ECU | BRA | COL | PAN | CRI | ARG | GUY | CHL | ABW | TTO | PER | URY | DOM | BOL,567347968.0,True
NPL,2027,16628593.0,567348000.0,0.0, |  |  |  |  |  |  | NPL,567347968.0,True
BDI,2029,16628593.0,567348000.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,567347968.0,True
BDI,2028,16628593.0,567348000.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,567347968.0,True
BDI,2027,16628593.0,567348000.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,567347968.0,True
BDI,2026,16628593.0,567348000.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,567347968.0,True
COG,2030,16628593.0,567348000.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,567347968.0,True
COG,2029,16628593.0,567348000.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,567347968.0,True
COG,2028,16628593.0,567348000.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,567347968.0,True
COG,2027,16628593.0,567348000.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,567347968.0,True
COG,2026,16628593.0,567348000.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,567347968.0,True
UGA,2030,16628593.0,567348000.0,0.0,ZMB | COG | RWA | TZA | AGO | UGA,567347968.0,True
NGA,2027,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
MEX,2028,16628593.0,567348000.0,0.0,PER | ECU | GUY | BRA | CUW | BOL | COL | DOM | URY | ARG | ABW | PRY | CRI | PAN | TTO | CHL | MEX,567347968.0,True
ETH,2029,16628593.0,567348000.0,0.0,YEM | DJI | SOM | ETH,567347968.0,True
ETH,2028,16628593.0,567348000.0,0.0,YEM | DJI | SOM | ETH,567347968.0,True
AFG,2029,16628593.0,567348000.0,0.0,AFG |  |  |  |  |  |  |  | ,567347968.0,True
AFG,2028,16628593.0,567348000.0,0.0,AFG |  |  |  |  |  |  |  | ,567347968.0,True
AFG,2027,16628593.0,567348000.0,0.0,AFG |  |  |  |  |  |  |  | ,567347968.0,True
AFG,2026,16628593.0,567348000.0,0.0,AFG |  |  |  |  |  |  |  | ,567347968.0,True
PSE,2030,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2029,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2028,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2027,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
PSE,2026,16628593.0,567348000.0,0.0, | PSE | ,567347968.0,True
NGA,2030,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
NGA,2029,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
NGA,2028,16628593.0,567348000.0,0.0, | NGA |  | ,567347968.0,True
TZA,2026,16628593.0,567348000.0,0.0,YEM | KEN | DJI | SOM | ETH | TZA,567347968.0,True
HTI,2028,16628593.0,567348000.0,0.0, | HTI |  |  |  |  |  |  |  |  | ,567347968.0,True
LVA,2030,16628593.0,567348000.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,567347968.0,True
LVA,2029,16628593.0,567348000.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,567347968.0,True
LVA,2028,16628593.0,567348000.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,567347968.0,True
LVA,2027,16628593.0,567348000.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,567347968.0,True
LVA,2026,16628593.0,567348000.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,567347968.0,True
EGY,2027,16628593.0,567348000.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,567347968.0,True
PAN,2028,16628593.0,567348000.0,0.0,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,567347968.0,True
PAN,2027,16628593.0,567348000.0,0.0,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,567347968.0,True
PAN,2026,16628593.0,567348000.0,0.0,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,567347968.0,True
PRY,2030,16628593.0,567348000.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,567347968.0,True
PRY,2029,16628593.0,567348000.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,567347968.0,True
PRY,2028,16628593.0,567348000.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,567347968.0,True
PRY,2027,16628593.0,567348000.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,567347968.0,True
PRY,2026,16628593.0,567348000.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,567347968.0,True
GNB,2030,16628593.0,567348000.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,567347968.0,True
BDI,2027,16628593.0,567348000.0,0.0,NER | PRK | KEN | NGA | GUY | PAN | MEX | BRA | CUW |  | TTO | PER | URY | EGY | DJI | JOR | CRI | BFA | YEM | RWA | AGO | COG | ETH | TUR | PRY | ECU | SSD | SDN | SOM | IRQ | COD | LBN | CAF | MLI | BGD | ABW | CMR | UKR | UGA | VEN | TZA | ZMB | BOL | DOM | CHL | COL | TCD | AFG | SYR | ARG | LBY | IRN | PSE | MMR | HTI | BDI,567347968.0,True
GNB,2028,16628593.0,567348000.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,567347968.0,True
GNB,2027,16628593.0,567348000.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,567347968.0,True
GNB,2026,16628593.0,567348000.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,567347968.0,True
TGO,2030,16628593.0,567348000.0,0.0,TGO,567347968.0,True
KEN,2026,16628593.0,567348000.0,0.0,UGA | ETH | KEN,567347968.0,True
TGO,2028,16628593.0,567348000.0,0.0,TGO,567347968.0,True
TGO,2027,16628593.0,567348000.0,0.0,TGO,567347968.0,True
ETH,2030,16628593.0,567348000.0,0.0,LBY | UGA | EGY | ETH,567347968.0,True
ETH,2029,16628593.0,567348000.0,0.0,LBY | UGA | EGY | ETH,567347968.0,True
ETH,2028,16628593.0,567348000.0,0.0,LBY | UGA | EGY | ETH,567347968.0,True
ETH,2027,16628593.0,567348000.0,0.0,LBY | UGA | EGY | ETH,567347968.0,True
ETH,2026,16628593.0,567348000.0,0.0,LBY | UGA | EGY | ETH,567347968.0,True
EGY,2030,16628593.0,567348000.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,567347968.0,True
EGY,2029,16628593.0,567348000.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,567347968.0,True
EGY,2028,16628593.0,567348000.0,0.0,LBY | TCD | SSD | UGA | ETH | CAF | EGY,567347968.0,True
GNB,2029,16628593.0,567348000.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,567347968.0,True
